Item,Weight,Protein,Carbs,Fat,Calories,Source
fish cake,250g,40g,10g,15g,350,LLM estimate
quinoa,200g,8g,40g,6g,260,USDA
chocolate,135g,3g,60g,30g,600,USDA
coconut water,325g,0g,15g,0g,60,USDA
ceviche,250g,38g,10g,10g,340,LLM estimate
salad,200g,4g,10g,5g,120,LLM estimate
nut crackers,135g,8g,25g,18g,350,USDA/LLM combo
pork bone soup,200,36g,8g,24g,380,USDA
lettuce,85,0.9g,1.7g,0g,13,USDA
gnocci,200,10g,60g,6g,400,USDA
sauce,100,5g,6g,6g,90,LLM
pastry,195,7.8g,49g,29g,546,USDA
maitake,85,1.7g,2.6g,0g,17,USDA
dimpling,85,4.2g,21g,5.1g,180,LLM
eggplant,85,0.9g,3.4g,0g,17,USDA
spinach,85,1.7g,1.7g,0g,17,USDA
masala,85,0.9g,2.6g,2.6g,43,LLM
cracker,85,1.7g,10.2g,4.3g,102,USDA
ice cream,75,6g,27g,12g,300,LLM
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
Aman cafe roti,195,11.7,54.6,13.7,468,LLM estimate
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
pizza,250,30,80,20,650,USDA
ceviche,200,30,8,8,260,LLM
maitakr,135,3,4,2,60,LLM
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
ceviche,300,45,10,10,300,LLM
cheese,285,32,1,25,410,USDA
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
ceviche,250,37.5,8,8,290,LLM
salad,200,4,10,5,120,LLM
nut crackers,135,6,22,9,280,USDA/LLM
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
chocolate krackel,195,3,50,30,590,LLM
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
chipotle chicken,585,55,45,18,680,LLM estimate
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
energy bar,195,20,28,12,370,USDA/LLM
Item,Weight (g),Protein (g),Carbs (g),Fat (g),Calories,Source
fruit snacks,195,1,45,0.5,220,USDA
